policy,WEEK_END_DATE,STORE_NUM,UPC,seg,state,price_rec,discount_rec,price_mult,promo_feature,promo_display,promo_tpr_only,is_promo,units_pred,revenue_pred,score_penalised
revenue_only,2011-08-10,21485,3800039118,MAINSTREAM,TX,2.533,0.15000000000000002,0.85,1,1,0,1,107.5818917304048,272.5049317531154,236.2549317531154
revenue_only,2011-08-17,8263,4116709565,UPSCALE,TX,4.7405,0.05000000000000005,0.95,1,1,0,1,4.0536121136153405,19.21614822459352,-9.533851775406482
revenue_only,2012-01-04,13827,2066200531,MAINSTREAM,TX,5.9415000000000004,0.14999999999999997,0.85,0,1,0,1,10.51492042193892,62.47439968695009,26.224399686950093
revenue_only,2011-11-02,23075,7027316404,MAINSTREAM,OH,1.764,0.09999999999999998,0.9,1,1,0,1,42.6679932170241,75.2663400348305,42.766340034830506
revenue_only,2011-07-06,17627,1111009507,AMBIGUOUS,TX,1.0285,0.15,0.85,1,1,0,1,30.982478514390337,31.86547915205046,-4.384520847949538
revenue_only,2011-12-21,21237,1111009477,MAINSTREAM,OH,1.62,0.0,1.0,1,1,0,1,208.72324252621988,338.1316528924762,313.1316528924762
revenue_only,2011-10-19,4521,3800031838,MAINSTREAM,TX,2.673,0.10000000000000005,0.9,1,1,0,1,53.014039381147725,141.70652726580786,109.20652726580786
revenue_only,2011-06-29,25261,3000006560,MAINSTREAM,TX,2.533,0.15000000000000002,0.85,1,1,0,1,66.31338323670805,167.9717997385815,131.7217997385815
revenue_only,2011-10-05,23055,1111085319,VALUE,OH,1.6575,0.15,0.85,1,1,0,1,21.71131427657825,35.98650341342845,-0.2634965865715486
revenue_only,2011-09-21,623,4116709428,MAINSTREAM,TX,3.9015,0.15,0.85,1,1,0,1,5.07592615025622,19.803725875224643,-16.446274124775357
revenue_only,2011-09-28,6379,7797502248,MAINSTREAM,TX,2.2864999999999998,0.15000000000000008,0.85,1,1,0,1,19.41566582179161,44.39391990152651,8.143919901526502
revenue_only,2011-08-31,6379,1111009477,MAINSTREAM,TX,1.22,0.0,1.0,1,1,0,1,78.56730250510508,95.85210905622819,70.85210905622819
revenue_only,2011-09-21,8035,1600027528,VALUE,OH,4.0715,0.14999999999999994,0.85,1,1,0,1,15.56543564043808,63.37467121004365,27.124671210043658
revenue_only,2011-06-15,27175,7218063979,UPSCALE,TX,6.3665,0.15,0.85,1,1,0,1,14.44477164906166,91.96263870375107,55.71263870375107
revenue_only,2012-01-04,4259,3800039118,VALUE,OH,2.9665,0.15000000000000008,0.85,1,1,0,1,102.6392030094619,304.4791957275687,268.2291957275687
revenue_only,2011-07-13,613,1111085345,MAINSTREAM,TX,1.665,0.10000000000000002,0.9,1,1,0,1,65.62101081722933,109.25898301068685,76.75898301068685
